No.,Author,Title,Publication,Start_Year,End_Year,Publication_Type,Source,비고
1,N/A,신단공안,황성신문,1906.05.19,1906.12.31,Article,T,
2,이해조,쌍옥적,제국신문,1908.12.04,1909.02.12,Article,T,
3,이해조,구의산,매일신보,1911.06.22,1911.09.28,Article,T,
4,N/A,지환당,동양서원,1912,,Book,T,
5,김교제,비행선,동양서원,1912,,Book,T,
6,김교제,지장보살,동양서원,1912,,Book,T,
7,박영운,금지환,동양서원,1912,,Book,T,
8,이해조,누구의 죄,보급서관,1913,,Book,T,
9,N/A,홍보석,보급서관,1913,,Book,T,
10,N/A,도리원 (상),박문서관,1913,,Book,T,
11,김교제,일만 구천 방,동양서원,1913,,Book,T,
12,N/A,소년의 탐험,왕래서시,1913,,Book,T,
13,N/A,파도상선,회동서관,1913,,Book,T,
14,이상춘,서해풍파,유일서관,1914,,Book,T,
15,조중환,비봉담,매일신보,1914.07.21,1914.10.28,Article,T,
16,이상협,정부원,매일신보,1914.10.29,1915.05.19,Article,T,
17,이상협,해왕성,매일신보,1916.02.10,1917.03.31,Article,T,
18,장두철,충복,태서문예신보,1918.10.19,1918.11.16,Article,T,
19,복면귀,의문의 사,녹성,1919.11,,Article,T,
20,윤병조,명금,신명서림,1920,,Book,T,
21,호관,혈가사,취산보림,1920.07,1920.9,Article,T,
22,고문룡,검은그림자,학생계,1920.07,,Article,T,
23,N/A,박쥐우산,조선일보,1920.7.14,미상,Article,T,
24,송완식,명금,영창서관,1921,,Book,T,
25,꿈길,전율탑,학생계,1921.02,,Article,T,
26,최상희,813,조선일보,1921.09.16,미상,Article,T,
27,김동성,일레인의 공,동아일보,1921.02.21,1921.07.02,Article,T,
28,SI생,여야차,계명,1921.5,,Article,T,
29,김동성,붉은 실,동아일보,1921.07.04,1921.10.10,Article,T,
30,민태원,무쇠탈,동아일보,1922.01.01.,1922.06.20,Article,T,
31,유광렬,여장부,동아일보,1922.06.21,1922.10.22,Article,T,
32,피피생,금고의 비밀,청년,1922.07,,Article,T,
33,큰샘,청 고대 금화,청년,1922.1,,Article,T,
34,N/A,KKK,학생계,1922.1,1922.11,Article,T,
35,김명순,상봉,개벽,1922.11,,Article,T,
36,김일선,백만 불의 비밀,신명서림,1923,,Book,T,
37,N/A,금강석,회동서관,1923,,Book,T,
38,정순규,농중미인,박문서관,1923,,Book,T,
39,박준표,비행의 미인,영창서관,1923,,Book,T,
40,김동성,괴물,동아일보,1923.03.25,1923.05.15,Article,T,
41,포영,뱀 같은 계집,동명,1923.04.08,,Article,T,
42,포영,새빨간 봉랍,동명,1923.04.15,,Article,T,
43,N/A,살아 온 사체,동명,1923.04.22,,Article,T,
44,N/A,실패,동명,1923.04.29.,,Article,T,
45,연성흠,암암 중의 살인,청년,1923.04,1923.06,Article,T,
46,N/A,강도,동명,1923.05.06,1923.05.13,Article,T,
47,연성흠,B 적당,청년,1923.1,1924.05,Article,T,
48,염상섭,남방의 처녀,평문관,1924,,Book,T,
49,송완식,의문의 시체,영창서관,1924,,Book,T,
50,양건식,협웅록,시대일보,1924.03.31,1924.09.09,Article,T,
51,이상수,귀신탑,매일신보,1924.06.03,1925.01.07,Article,T,
52,염상섭,쾌한 지 도령,매일신보,1924.08.12,1925.01.03,Article,T,
53,유광렬,미인의 한,동아일보,1924.08.28,1924.11.08,Article,T,
54,윤백남,흑묘 이변,월간 야담,1924.12,,Article,T,
55,방정환,동생을 찾으러,어린이,1925.01,1925.10.,Article,T,
56,봄바람,낙화,조선일보,1924.03.02,1926.02.26,Article,T,
57,성주,바다의 처녀,매일신보,1925.05.09.,1926.02.26.,Article,T,
58,구라모치 다카오,의문의 죽음,조선공론,1925.09.,1925.12.,Article,T,
59,이찬희,무서운 코,신여성,1925.10.,,Article,T,
60,N/A,흑묘 물어,시대일보,1925.11.26.,1925.11.31.,Article,T,
61,박철혼,비행의 미인,영창서관,1926,,Book,T,
62,호관,혈가사,울산인쇄소,1926,,Book,T,
63,홍수동인,산타클로스,청년,1926.03.,,Article,T,
64,홍수동인,야도의 누,청년,1926.04,,Article,T,
65,방정환,칠칠단의 비밀,어린이,1926.04,1927.12,Article,T,
66,김광배,기인 기연,박문서관,1926,,Book,T,
67,근춘,야광주,청년,1926.05,1926.06,Article,T,
68,근춘,무중안,청년,1926.07.,,Article,T,
69,근춘,삼선 우표,청년,1926.10.,,Article,T,
70,근춘,열정의 범죄,청년,1926.11,1926.12,Article,T,
71,방정환,누구의 죄,별건곤,1926.12.,,Article,T,
72,연성흠,괴상한 미인,"창신서관, 백합사",1927,,Book,T,
73,연성흠,괴적단,"신명서림, 회동서관, 경성서관",1927,,Book,T,
74,정인섭,적사의 가면,해외문학,1927.01.,,Article,T,
75,최광륜,독살 사건의 진범인,새벗,1927.01.,,Article,T,
76,양주동,813,신민,1927.01.,1927.04.,Article,T,
77,김단정,괴적단,중외일보,1927.03.,1927.06,Article,T,
78,최독견,조그만 심판,동광,1927.04.,,Article,T,
79,N/A,피 칠한 세균,청년,1927.04.,,Article,T,
80,주요한,소복의 비밀,동아일보,1927.05.05,1927.08.14.,Article,T,
81,방정환,괴남녀 이인조,별건곤,1927.08.,,Article,T,
82,권천생,은 갈퀴,학창,1927.1,미상,Article,T,
83,N/A,적막강산,대성서림,1928,,Book,T,
84,"김광배, 단정",최후의 승리,중외일보,1928.01.30.,1928.05.15.,Article,T,
85,최서해,사랑의 원수,중외일보,1928.05.16.,1928.08.03.,Article,T,
86,강영한,검둥 고양이,원고시대,1928.08.,,Article,T,
87,백악,흑운을 뚫고서,새벗,1928.11,미상,Article,T,
88,이원규,탐정세계,박문서관,1929,,Book,T,
89,방정환,소년 삼태성,어린이,1929.01.,,Article,T,
90,N/A,매니큐어 걸,별건곤,1929.09.,,Article,T,
91,방정환,소년 사천왕,어린이,1929.09.,1930.12.,Article,T,
92,단정학,곁쇠,신민,1929.11.,1932.01.,Article,T,
93,김삼규,말뚝에 선 메스,조선지방행정,1929.11.,1930.01.,Article,T,
94,방정환,신사 도적,신소설,1929.12.,,Article,T,
95,주요한,사막의 꽃,동아일보,1929.12.03.,1930.04.12.,Article,T,
96,건덕방인,귀여운 복수,동아일보,1930.01.01.,1930.01.03.,Article,T,
97,최병화,혈염봉,학생계,1930.05.,1930.06.,Article,T,
98,신경순,식인 사건의 심판,별건곤,1930.06,,Article,T,
99,권이운,의문의 살인귀,신취미,1930.07,,Article,T,
100,최학송,6.37,여성시대,1930.08.,,Article,T,
101,최영주,지하실의 비밀,학생계,1930.08.,,Article,T,
102,원동인,범의 어금니,조선일보,1930.08.05.,1931.05.15,Article,T,
103,최영주,석중선,학생계,1930.09.,,Article,T,
104,최유범,인육 속에 묻힌 야광주,별건곤,1930.09,,Article,T,
105,최영주,괴 살인 사건,학생,1930.10.,,Article,T,
106,N/A,"권총 오만 정을 삼킨 여자, 여자 스파이의 활약기",별건곤,1930.10.,,Article,T,
107,허문일,천공의 용소년,어린이,1930.10.,,Article,T,
108,N/A,흉가의 비밀,별건곤,1930.10.,1931.02.,Article,T,
109,경성탐정취미회,여자 스파이의 죽음,조선공론,1931.01.,1931.05.,Article,T,
110,최독견,사형수,신민,1931.01.,1931.06.,Article,T,
111,N/A,"인간적 잔인성의 극치, 여자 사십팔 인 학살 사건, 근대 범죄사상 경이!!",별건곤,1934.04.,,Article,T,
112,이하윤,황금충,조선일보,1931.06.17.,1931.07.17.,Article,T,
113,이하윤,결혼반지,조선일보,1931.07.30.,1931.08.14.,Article,T,
114,연성흠,용길의 기공,어린이,1931.09.,,Article,T,
115,소천호,가방 속의 사미인,별건곤,1931.10.,,Article,T,
116,방인근,괴청년,동아일보,1931.10.08.,1931.10.28.,Article,T,
117,N/A,"스파이 비화, 독일 황제 카이저를 속여 넘긴 여밀정",별건곤,1931.11.,,Article,T,
118,유영,대도 뤼팽,영화시대,1932.01.,미상,Article,T,
119,붉은빛,색마와의 격전,신동아,1932.05.,1932.06.,Article,T,
120,유방,연애와 복수,별건곤,1932.06.,,Article,T,
121,유방,기차에서 만난 사람,별건곤,1932.07.,,Article,T,
122,붉은빛,미인의 비밀,신동아,1932.07.,1932.08.,Article,T,
123,연성흠,기는 놈에 나는 놈,신여성,1932.08.,,Article,T,
124,남우훈,경희,제일선,1932.09.,,Article,T,
125,유방,공중을 나는 유령선,별건곤,1932.09.,,Article,T,
126,최병화,미모와 날조,별건곤,1932.09.,,Article,T,
127,붉은빛,흡혈귀,신동아,1932.09.,1932.10.,Article,T,
128,최병화,심리 고백,여인,1932.10.,,Article,T,
129,유방,무죄한 사형수,별건곤,1932.10.,,Article,T,
130,붉은빛,셜론 홈스는 누구인가?,신동아,1932.11.,,Article,T,
131,김광섭,수인,신동아,1933.01.,,Article,T,
132,변상권,독약 박사,별나라,1933.02.,,Article,T,
133,붉은빛,싯누런 얼굴,신동아,1933.02.,,Article,T,
134,방인근,마도의 향불,동아일보,1932.11.05.,1933.06.12.,Article,T,
135,최유범,순아 참살 사건,별건곤,1933.02.,,Article,T,
136,최유범,질투하는 악마,별건곤,1933.03.,,Article,T,
137,N/A,신문에도 발표 안 된 현대의 뤼팽 여괴도,별건곤,1933.03.,,Article,T,
138,신경순,피 묻은 수첩,별건곤,1933.03.,1933.05.,Article,T,
139,최유범,K 박사의 명안,별건곤,1933.04.,,Article,T,
140,최유범,이상한 걸인,별건곤,1933.05.,,Article,T,
141,윤성학,호저의 비밀,별건곤,1933.05.,1933.07.,Article,T,
142,최병화,늙은 살인마,별건곤,1933.06.,,Article,T,
143,최유범,못생긴 악한,별건곤,1933.06.,,Article,T,
144,최병화,늙은 살인마,별건곤,1933.06.,,Article,T,142와 동일한 자료로 보이나 목록에 있으므로 동일하게 기입
145,최유범,아연 중독자,별건곤,1933.07.,,Article,T,
146,박우석,이십삼 호실의 살인,별건곤,1933.09.,,Article,T,
147,박상엽,마작 살인,별건곤,1933.09.,1933.11.,Article,T,
148,박우석,붉은 집'의 살인 사건,별건곤,1933.11.,,Article,T,
149,김운정,괴인,중앙,1933.11.,1935.02.,Article,T,
150,최유범,흑묘좌 기담,별건곤,1933.12.,,Article,T,
151,방인근,소영웅,아이생활,1933.12.,1933.12.,Article,T,
152,N/A,명금,태화서관,1934,,Book,T,
153,N/A,암야의 총소리,대성서림,1934,,Book,T,
154,최유범,약혼녀의 악마성,별건곤,1934.01.,1934.05.,Article,T,
155,경성탐정취미회,세 구슬의 비밀,조선공론,1934.02.,1934.04.,Article,T,
156,박상엽,백사장 위의 비극,별건곤,1934.03.,,Article,T,
157,박상엽,구라파 궁정의 보석 도난 사건,별건곤,1934.04.,,Article,T,
158,신경순,가승 기담,별건곤,1934.04.,,Article,T,
159,최유범,누가 죽였느냐!!,별건곤,1934.04.,,Article,T,
160,양유신,뱀 먹는 살인범,월간 매신,1934.04.,,Article,T,
161,김용석,심야의 괴녀,월간 매신,1934.05.,,Article,T,
162,채만식,염마,조선일보,1934.05.16.,1934.11.05.,Article,T,
163,N/A,질투녀의 희생물,별건곤,1934.06.,,Article,T,
164,양유신,우물 밑 방송실,월간 매신,1934.06.,,Article,T,
165,정인택,범죄 실화담,월간 매신,1934.06.,,Article,T,
166,김동인,수평선을 넘어서,매일신보,1934.07.10.,1934.12.19.,Article,T,
167,건덕방인,사랑은 무섭다,별건곤,1934.08.,,Article,T,
168,이희철,산송장,월간 매신,1934.08.,,Article,T,
169,양유신,도적은 꿈속에,월간 매신,1934.08.,,Article,T,
170,윤일민,처녀의 혼,월간 매신,1934.08.,,Article,T,
171,이근,장님과 요괴,월간 매신,1934.08.,,Article,T,
172,양유신,찬비의 가방,월간 매신,1934.10.,,Article,T,
173,신경순,암굴의 혈투,개벽,1934.11.,,Article,T,
174,N/A,흑의도,삼문사서점,1935,,Book,T,
175,N/A,혈루의 미인,세창서관,1935,,Book,T,
176,신경순,미카도의 지하실,개벽,1935.01.,,Article,T,
177,양순백,망령,월간 매신,1935.01.,,Article,T,
178,최영주,마야의 황금성,중앙,1935.01.,1936.06.,Article,T,
179,박태원,특진생,소년중앙,1935.02.,1935.06.,Article,T,
180,김내성,타원형의 거울,프로필,1935.03.,,Article,T,
181,주요섭,낙랑 고분의 비밀,조광,1935.02.,,Article,T,
182,MGN,벽해장 사건,사해공론,1935.07.,,Article,T,
183,한인택,악희,신동아,1935.08.,,Article,T,
184,박태원,폴가의 소년단,신아동,1935.09.,,Article,T,
185,MGM,제퍼슨가의 살인 사건,사해공론,1935.09.,,Article,T,
186,이철,보스콤 곡의 비극,사해공론,1935.10.,1935.12.,Article,T,
187,N/A,삼대 관(官)의 괴사 사건,과학조선,1935.11.,,Article,T,
188,신경순,제이의 밀실,조광,1935.11.,1936.01.,Article,T,
189,김내성,탐정소설가의 살인,프로필,1935.12.,,Article,T,
190,이무영,똘똘이,동아이로,1936.02.09.,1936.05.20.,Article,T,
191,이철,두견장,사해공론,1936.01.,1936.03.,Article,T,
192,김광섭,도난된 편지,조광,1936.04.,,Article,T,
193,이헌구,제삼자,조광,1936.04.,,Article,T,
194,하인리,구라파의 고아,조광,1936.04.,,Article,T,
195,김환태,복면의 하숙인,조광,1936.04.,,Article,T,
196,이헌구,명모유죄,조광,1936.05.,1936.08.,Article,T,
197,김내성,가상범인,조선일보,1937.02.13.,1937.03.21.,Article,T,
198,백소민,기괴한 유언장,신동아,1936.08.,,Article,T,
199,김환태,의문의 독사 사건,조광,1936.09.,1937.03.,Article,T,
200,이성락,귀신을 잡은 소년,동화,1937.04.,,Article,T,
201,백양아,베르사유 살인 사건,조광,1937.05.,,Article,T,
202,남경전,백앵무의 사,호남평론,1937.05.,1937.07.,Article,T,
203,김유정,잃어진 보석,조광,1937.06.,1937.11.,Article,T,
204,김내성,백가면,소년중앙,1937.06.,1937.11.,Article,T,
205,박태원,최후의 억만장자,조선일보,1937.06.25.,1937.07.01.,Article,T,
206,N/A,광상시인,조광,1937.09.,,Article,T,
207,김내성,황금굴,동아일보,1937.11.01.,1937.12.31.,Article,T,
208,김내성,살인예술가,조광,1938.03.,1938.05.,Article,T,
209,김은성,봉투 한 장,매일신보,1938.04.17.,,Article,T,
210,이서구,염서사건,삼천리,1938.05.,,Article,T,
211,박태원,소년 탐정단,소년중앙,1938.06.,1938.11.,Article,T,
212,한인택,괴도의 연기,동아일보,1938.07.19.,1938.08.12.,Article,T,
213,박노갑,미인도,농업조선,1938.08.,1938.09.,Article,T,
214,김내성,백과 홍,사해공론,1938.09.,,Article,T,
215,김내성,연문기담,조광,1938.12.,,Article,T,
216,최병화,소년 금강가,아이생활,1939.01.,미상,Article,T,
217,김내성,마인,조선일보,1939.02.14.,1939.10.11.,Article,T,
218,김내성,심야의 공포,조광,1939.03.,,Article,T,
219,김내성,이단자의 사랑,농업조선,1939.03.,,Article,T,
220,김내성,무마,신세기,1939.03.,,Article,T,
221,이남종,몽중살인,신세기,1939.06.,,Article,T,
222,김내성,시유리,문장,1939.07.,,Article,T,
223,김내성,백사도,농업조선,1939.08.,1939.09.,Article,T,
224,유령기자,장미 수차 살인 사건,만선일보,1939.12.01.,1940.01.22..,Article,T,
225,김내성,복수귀,농업조선,1940.01.,,Article,T,
226,최승화,삼색화,아이생활,1940.01.,미상,Article,T,
227,박경호,의문의 말라리아 균,조광,1940.03.,,Article,T,
228,김내성,제일 석간,농업조선,1940.05.,,Article,T,
229,최유범,마경천리,아이생활,1940.10.,,Article,T,
230,김내성,괴도 그림자 후일담,농업조선,1940.12.,,Article,T,
231,김내성,홍두 레드메인즈 일가,조광사,1940,,Book,T,
232,이석훈,베스커빌의 괴견,조광사,1941,,Book,T,
233,김내성,괴암성,조광,1941.01.,1941.09.,Article,T,
234,방인근,813의 비밀,조광사,1941,,Book,T,
235,노자영,이억만 원의 사랑,성문당서점,1941,,Book,T,
236,이소,"연애보-무정한 아내, 백만 불의 비밀, 편수(片手)의 미인",영창서관,1942,,Book,T,
237,N/A,마굴,영창서관,1942,,Book,T,
238,김내성,태풍,매일신보,1942.11.21.,1943.05.02.,Article,T,
239,김내성,매국노,신시대,1943.07.,1944.04.,Article,T,
240,노양근,칠면두,아이생활,1943.09.(예고),,Article,T,
241,최승화,꿈에 본 얼굴,아이생활,"1943.09.(예고, 일본어)",,Article,T,
242,김내성,어떤 여간첩,과학조선,1943.10.,,Article,T,
243,N/A,방송소설명작선,조선출판사,1943,,Book,T,
244,문세영,사선을 넘어서,남창서관,1944,,Book,T,
245,N/A,스파이의 수첩,삼문사서점,1944,,Book,T,
246,주요섭,?,아이생활,미상,,Article,T,
247,현대탐정실화집,괴안 기영,조선일보,미상,,Article,T,
248,유두응,천고의 비밀,삼우출판사(동화당서점),1945,,Book,T,
249,이우영,국제 살인 사건,우신상사출판부,1946,,Book,T,
250,김내성,똘똘이의 모험-박쥐편,영문사,1946,,Book,T,
251,이석훈,똘똘이의 모험-남양편,금룡도서주식회사,1946,,Book,T,
252,김내성,똘똘이의 모험-난쟁이 나라 구경편,문구당서점,1947,,Book,T,
253,김내성,진주탑,백조사,1947,,Book,T,
254,김내성,심야의 공포,여명각,1947,,Book,T,
255,김내성,광상시인,동망문화사,1947,,Book,T,
256,노자영,이억만 원의 사랑,문언사,1948,,Book,T,
257,김내성,마심불심,청운사,1948,,Book,T,
258,김내성,보굴왕,여명각,1948,,Book,T,
259,방인근,복수귀,문운당,1948,,Book,T,
260,이석훈,배스커빌의 괴견,야사연구회,1948,,Book,T,
261,이석훈,심야의 음모,세계서림,1948,,Book,T,
262,박도일,흡혈귀,상호출판사,1948,,Book,T,
263,김해랑,사인도(死人島)의 비밀,경향출판사,1948,,Book,T,
264,김내성,혈장미,문예,1948.05.,,Article,"T, M",동일
265,방인근,813의 비밀,문운당,1949,,Book,T,
266,방인근,악마,문운당,1949,,Book,T,
267,김내성,비밀의 문,해왕사,1949,,Book,"T, M",동일
268,박철민,비밀의 비밀,청춘사,1949,,Book,"T, M",동일
269,방인근,방화 살인 사건,호남문화사,1949,,Book,T,
270,방인근,악마,문운당,1949,,Book,T,266과 동일한 책으로 보이지만 원자료에 기입되어 있으므로 동일하게 처리
271,N/A,편수의 미인,광문서림,1949,,Book,T,
272,송규정,사 거두의 비밀,정음사,1949,,Book,T,
273,김내성,비밀의 가면,청운사,1949,,Book,T,
274,김내성,벌처기,신원,1949.04.,,Article,T,
275,고남도,묘아댁의 참사,야담과 실화,1957.07.,,Article,M,
276,고남도,처녀백정의 소굴,야담과 실화,1957.08.,,Article,M,
277,권만수,수정각의 비밀,실화,1957.04.,,Article,M,
278,김광조,보석의 전설,화제,1958.07.,,Article,M,
279,김내성,사상의 장미,신시대,1953.05.,1953.07.,Article,M,
280,김내성,사상 장미,신태양,1954.08.,1956.09.,Article,M,
281,김내성,황금박쥐,학원,1955.04.,1956.05.,Article,M,
282,김내성,마인,실화,1955.09.,1957.12.,Article,M,
283,김내성,무마,아리랑,1955.증간호,,Article,M,
284,김내성,도깨비 감투,학원,1956.07.,1957.04.,Article,M,
285,김내성,이단자의 사랑,삼천리,1956.09.,,Article,M,
286,김내성,악마파,삼천리,1956.10.,,Article,M,
287,김내성,창공의 곡예사,아리랑,1956.05.,,Article,M,
288,김내성,저금통장,아리랑,1957.07.,,Article,M,
289,김내성,일석이조,아리랑,1957.08.,1957.09.,Article,M,
290,김내성,태풍,화제,1957.10.,,Article,M,
291,김동훈,암흑의 무도회,화제,1957.11.,,Article,M,
292,김동훈,그 여자는 비밀을 알고 있다,화제,1959.증간호,,Article,M,
293,김동훈,그 방의 여자,아리랑,1959.10.,,Article,M,
294,김봉현,식탁 앞에 앉은 시체,명랑,1956.08.,,Article,M,
295,김석민,그림자 없는 범인,소설계,1959.11.,,Article,M,
