No.,Title,Author,Publication,Start_Year,End_Year,Publication_Type,Source,비고
1,"(三省版) 韓國現代文學全集. 3, 5, 9, 12, 14-15, 17, 19, 45, 47-48, 50-51, 53, 55, 57, 59-60",삼성출판사,삼성출판사,1982,,Anthology,"MK, MN",
2,"(三省版) 韓國現代文學全集. 3, 5, 9, 12, 14-15, 17, 19, 45, 47-48, 50, 51,53, 55, 57, 59-60 / 三省出版社 [編]",염상섭 외,삼성출판사,1982,,Anthology,"MK, MN",
3,라인X. 上,김성종,남도출판사,1987,,Book,"MK, DN",
4,덫 : 정건섭 본격추리소설,정건섭,공사,1988,,Book,"MK, DN",
5,불꽃살인 : 전애림 장편추리소설,전애림,청목서적,1988,,Book,"MK, DN",
6,화려한 도시 : 이상욱 추리소설 : 당신은 어떤 타입의 도시인인가?,이상욱,고려문학사,1989,,Book,"MK, DN",
7,5시간30분 : 장편추리소설,정건섭,심지,1990,,Book,"MK, DN",
8,바람난 아침 : 장편추리소설,정건섭,삼진기획,1991,,Book,"MK, DN",
9,악마의 미소 : 독고영 장편추리소설,독고영,열곡문화사,1991,,Book,"MK, DN",
10,(秘密) 93+γ : 추리소설,"김성종,이상우",명지사,1993,,Anthology,"MK, DN",
11,러브 미스테리,정태원,비전,1993,,Book,"MK, DN",
12,세 얼굴을 가진 사나이 : 김성종 추리소설. 하,김성종,해난터,1994,,Book,"MK, DN",
13,女子는 죽어야 한다. 下,김성종,남도출판사,1995,,Book,"MK, DN",
14,5時間 30分 : 제1회 한국추리문학상수상자 정건섭本格推理小說,정건섭,예술시대,1996,,Book,"MK, DN",
15,겨울 태풍,정건섭,고려원미디어,1996,,Book,"MK, MN",
16,원줄과 목줄 : 바다추리소설,조돈만,책과벗,1996,,Book,"MK, DN",
17,아내는 실종중 : 이상우 대표 추리소설. 하,이상우,삼성서적,1997,,Book,"MK, DN",
18,야간 탈옥,김상헌,고려원미디어,1997,,Book,"MK, MN",
19,불타는 대망의 도박,안홍열,정문각,2002,,Book,"MK, DN",
20,얼굴없는 재벌,안홍열,정문각,2002,,Book,"MK, DN",
21,한국추리문학 걸작선,한국추리작가협회,태동출판사,2002,,Anthology,"MK, DN",
22,레드 존 : 황유석 미스터리 스릴러. 1. 혼돈의 시작,황유석,두리미디어,2003,,Book,"MK, DN, MN",동일
23,"방각본 살인사건 : 김탁환 역사 추리 소설. 上, 下",김탁환,황금가지,2003,,Book,"MK, DN",
24,최후의 증인,김성종,동서문화사,2003,,Book,"MK, DN, MN",동일
25,(이인화 장편소설)하비로,이인화,해냄출판사,2004,,Book,"MK, DN",
26,(장편추리소설)징후,신외숙,한글,2004,,Book,"MK, DN",
27,2005 오늘의 추리소설 : 날 기억하지 말아요,추리문학연구회,산다슬,2004,,Anthology,"MK, DN",
28,여상속인 : 기업추리소설. 1-3,김나경,연합뉴스 동북아센터,2004,,Book,"MK, DN",
29,천년전쟁. 1 - 2,김종철,삶과꿈,2004,,Book,"MK, DN",
30,피아노살인 : 김성종 추리문학전집,김성종,남도출판사,2004,,Book,"MK, DN",
31,하비로 : 이인화 장편소설,이인화,해냄,2004,,Book,"MK, DN",
32,남극일기,임필성,랜덤하우스중앙,2005,,Book,"MK, DN",
33,남극일기,임필성,랜덤하우스중앙,2005,,Book,"MK, DN",
34,늪 : 서재우 미스터리 스릴러 장편소설. 1 - 2(완결),서재우,영상출판미디어(영상노트),2005,,Book,"MK, MN",
35,최후의 밀서,김성종,남도출판사,2005,,Book,"MK, DN",
36,2006 올해의 추리소설 : 사랑보다 아름다운 유혹,한국추리작가협회,산다슬,2006,,Anthology,"MK, DN",
37,나는 사랑을 죽였다 : 류성희 심리추리소설,류성희,산다슬,2006,,Book,"MK, DN, MN",동일
38,남편을 죽이는 서른가지 방법 : 서미애 추리소설,서미애,산다슬,2006,,Book,"MK, DN, MN",동일
39,남편을 지독히 사랑하는 여자 : 정석화 서스펜스소설,정석화,산다슬,2006,,Book,"MK, MN",
40,봄은 오지 않을 것이다. 1-3,김성종,남도출판사,2006,,Book,"MK, DN",
41,북쪽 휴양지 : 추리소설 네 번째 이야기,황성현,나노미디어,2006,,Book,"MK, DN",
42,이별의목적 : 김차애 추리소설,김차애,산다슬,2006,,Book,"MK, DN, MN",동일
43,주피터의 비밀,양희찬,중명출판사,2006,,Book,"MK, DN",
44,구기화 : 해밀 추리 무협 소설. 1-4(완결),해밀,청어람,2007,2008,Book,"MK, DN",
45,백일몽 : 고을주 장편 추리소설,고을주,연인M&B,2007,,Book,"MK, DN",
46,서울의 만가 : 김성종 장편소설. 1-2,김성종,남도출판사,2007,,Book,"MK, DN",
47,아름다운 밀회 : 김성중 장편추리소설. 1-2,김성종,남도출판사,2007,,Book,"MK, DN",
48,안개 속의 살인 : 2007' 올해의 추리소설,한국추리작가협회,화남,2007,,Anthology,"MK, DN",
49,"열녀문의 비밀 : 김탁환 장편소설. 상, 하",김탁환,민음사,2007,,Book,"MK, DN",
50,일곱 개의 장미송이 : 김성종 장편소설,김성종,남도출판사,2007,,Book,"MK, DN",
51,22일 : 최성근 장편소설,최성근,웅진씽크빅,2008,,Book,"MK, DN",
52,나는 고백한다 : 정도전 암살 미스터리,이재운,위즈덤하우스,2008,,Book,"MK, MN",
53,백색인간 : 김성종 추리소설. 1-2,김성종,남도출판사,2008,,Book,"MK, DN",
54,세계 악녀들의 유희,유인경,백양출판사,2008,,Book,"MK, DN",
55,제3의 사나이 : 김성종 장편추리소설. 1-2,김성종,남도출판사,2008,,Book,"MK, DN",
56,지구 남쪽에서 시작된 호기심 : 이상우 장편소설,이상우,화남출판사,2008,,Book,"MK, DN",
57,코미디는 끝났다 : 李銀 장편추리소설,이은,랜덤하우스코리아,2008,,Book,"MK, DN",
58,한국 추리 스릴러 단편선,최혁곤 외 9인,황금가지,2008,,Anthology,"MK, DN",
59,12인 12색 : 한국 젊은 작가 추리단편집,"신재형,박하익,곽재동,설성원,박현주,이지선,배상열,안정연,김재성,오창희,손선영,김주동",한스미디어,2009,,Anthology,"MK, DN",
60,경성탐정록,한동진,학산문화사,2009,,Book,"MK, DN",
61,너는 모른다 : 정이현 장편소설,정이현,문학동네,2009,,Book,"MK, DN",
62,뉴라이트 : 임정의 역사추리소설,임정,필맥,2009,,Book,"MK, DN",
63,두 명의 목격자,최혁곤 외 9인,황금가지,2009,,Anthology,"MK, DN",
64,붉은 벽돌 무당집 : 양국일 양국명 공포소설. 1. 공포의 방문객,"양국일,양국명",청어,2009,,Book,"MK, DN",
65,사건의 구조 : 김승업의 장편추리소설,김승업,좋은땅,2009,,Book,"MK, DN",
66,사라진 뱃사공,조정래,청암,2009,,Book,"MK, DN",
67,서울의 황혼 : 김성종 장편추리소설,김성종,바른책,2009,,Book,"MK, DN",
68,수상한 미술관 : 李垠 장편소설,이은,웅진씽크빅,2009,,Book,"MK, DN",
69,인형의 정원 : 서미애 장편소설,서미애,웅진씽크빅,2009,,Book,"MK, DN",
70,제5열 : 김성종 장편추리소설. 1-3,김성종,남도출판사,2009,,Book,"MK, DN",
71,진주탑 : 김내성 탐정 번안 소설,김내성,현대문학,2009,,Book,"MK, DN",
72,진주탑 : 김내성 탐정 번안 소설,김내성,현대문학,2009,,Book,"MK, DN",
73,초콜릿을 좋아하는 여자 : 김승업의 장편추리소설,김승업,좋은땅,2009,,Book,"MK, DN",
74,틈 : 김승업의 장편추리소설,김승업,좋은땅,2009,,Book,"MK, DN",
75,3일 : 사도세자 암살 미스터리 : 이주호 장편소설. 1-2,이주호,위즈덤하우스,2010,,Book,"MK, MN",
76,김유신의 머리일까?,차무진,끌레마,2010,,Book,"MK, DN",
77,대한민국 7대 미스터리 : 김진명 작가노트,김진명,새움,2010,,Book,"MK, MN",
78,라트라비아타의 초상,도진기,들녘,2010,,Book,"MK, DN",
79,마녀들의 입회식 : 백은하 장편 추리소설,백은하,에세이퍼블리싱,2010,,Book,"MK, DN",
80,미로의 저쪽 : 김성종 장편추리소설. 1-2,김성종,남도출판사,2010,,Book,"MK, DN",
81,바이퍼케이션 : 하이드라 : 이우혁 장편소설. 1-3,이우혁,해냄출판사,2010,,Book,"MK, DN",
82,비련의 화인 : 김성종 장편추리소설,김성종,바른책,2010,,Book,"MK, DN",
83,살인자의 편지 : 유현산 장편소설,유현산,자음과모음,2010,,Book,"MK, DN",
84,악마는 꿈꾸지 않는다 : 2010 올해의 추리 소설,한국추리작가협회,화남,2010,,Anthology,"MK, DN",
85,어둠의 변호사 : 붉은집 살인사건,도진기,들녘,2010,,Book,"MK, DN",
86,"잘 자요, 엄마 : 서미애 장편소설",서미애,웅진씽크빅,2010,,Book,"MK, DN",
87,한국 추리 스릴러 단편선. 3,박하익 외,황금가지,2010,,Anthology,"MK, DN",
88,(2011) 신춘문예 : 당선소설집,한국소설가협회,한국소설가협회,2011,,Anthology,"MK, MN",
89,(Code) Z의 비밀 : 김성종 장편추리소설,김성종,바른책,2011,,Book,"MK, DN",
90,고분군의 수호자 : 조정래 장편소설,조정래,청암,2011,,Book,"MK, DN",
91,"나비, 살랑거리다 : 홍양순 소설집",홍양순,실천문학,2011,,Book,"MK, MN",
92,목련이 피었다 : 2011 올해의 추리소설,"강형원,김재성,김주동,서미애,설인효,손선영,이상우,최종철,현구,황미영,황세연",청어람,2011,,Anthology,"MK, DN",
93,미래여인 : 이정섭 장편소설,이정섭,페이퍼북,2011,,Book,"MK, DN",
94,박회장의 그림창고 : 李垠 장편소설,이은,고즈넉이엔티,2011,,Book,"MK, DN",
95,밤 무지개 : 이상우 장편 추리 소설,이상우,로하스,2011,,Book,"MK, DN",
96,악녀 두 번 살다 : 이상우 장편 추리 소설,이상우,로하스,2011,,Book,"MK, DN",
97,안개 속에 지다 : 김성종 장편추리소설. 1-2,김성종,남도출판사,2011,,Book,"MK, DN",
98,정신자살,도진기,들녘,2011,,Book,"MK, DN",
99,정의는 가혹하다 : 김영복 장편소설,김영복,에세이퍼블리싱,2011,,Book,"MK, DN",
100,피의 굴레 : 경성탐정록 두 번째 이야기,한동진,학산문화사,2011,,Book,"MK, DN",
101,합작 : 살인을 위한 살인,손선영,손안의책,2011,,Book,"MK, DN",
102,흔한 일들 : 신재형 장편소설,신재형,한스미디어,2011,,Book,"MK, DN",
103,(경성 탐정) 이상,김재희,시공사,2012,,Book,"MK, DN",
104,검사는 무엇으로 사는가 : 2012 올해의 추리소설,"강형원,권경희,김경로,김주동,김재성,설인효,손선영,송시우,이상우,이수광,정가일,정혁,조동신,최종철,홍성호,황세연 ;엮은이: 한국추리작가협회",청어람,2012,,Anthology,"MK, DN",
105,게임의 왕 : 한상운 장편소설,한상운,문학동네,2012,,Book,"MK, MN",
106,나를 아는 남자 : 도진기 장편소설,도진기,시공사,2012,,Book,"MK, DN",
107,눈빛 : 김제철 장편소설 : 한·중·일·러시아의 이토 히로부미 저격을 둘러싼 미스터리,김제철,푸른사상사,2012,,Book,"MK, MN",
108,대한독립기 : MysterLee 대체역사 장편소설. 1-7(완결),MysterLee,어울림,2012,,Book,"MK, MN",
109,미친 나이팅게일 : 순수한 어린아이의 슬프고 고통스러운 서사시 : 난아 중편 공포추리소설,난아,퍼플,2012,,Book,"MK, DN",
110,사건번호 113 : 류성희 장편소설,류성희,황금가지,2012,,Book,"MK, DN",
111,소년들의 밤 : 한상운 장편소설,한상운,문학동네,2012,,Book,"MK, MN",
112,순서의 문제,도진기,시공사,2012,,Book,"MK, DN",
113,죽어야 사는 남자 : 손선영 장편소설,손선영,청어람,2012,,Book,"MK, DN",
114,죽음을 부르는 소녀 : 김성종 장편추리소설,김성종,바른책,2012,,Book,"MK, DN",
115,한국 추리 스릴러 단편선. 4,정명섭 외,민음인,2012,,Anthology,"MK, DN",
116,한국추리소설 걸작선. 01-02,김내성 외 43인 ;한국추리작가협회,한스미디어,2012,,Anthology,"MK, DN",
117,홈즈가 보낸 편지 : 윤해환 장편소설,윤해환,웅진씽크빅,2012,,Book,"MK, DN",
118,2억 불 파워볼 속에 숨은 미스터리의 진실,한우형,지식과감성#,2013,,Book,"MK, MN",
119,무임승차 : 수오 장편소설,수오,푸른봄,2013,,Book,"MK, DN",
120,"서불과차도 : 사마천의『사기』에 실린 역사의 미스터리, 남해 금산에 남아있는 서불과차도",김익재,북포스,2013,,Book,"MK, MN",
121,선량한 시민 : 김서진 장편소설,김서진,나무옆의자,2013,,Book,"MK, DN",
122,선암여고 탐정단 : 방과 후의 미스터리,박하익,황금가지,2013,,Book,"MK, MN",
123,신들의 세계 / 3월 : 호러미스터리 장편소설. 상,주연,북팔,2013,,Book,"MK, MN",
124,얼음 폭풍 : 황희 미스터리 단편 수상집,황희,손안의책,2013,,Book,"MK, MN",
125,연꽃 위의 처녀 : 조정래 장편소설,조정래,청암,2013,,Book,"MK, DN",
126,인간병기 흙피리 : 정건섭 추리소설,정건섭,연인M&B,2013,,Book,"MK, DN",
127,좀비 그리고 생존자들의 섬,백상준,민음인,2013,,Book,"MK, DN",
128,지상 최대 바이러스,이영호,푸른물고기,2013,,Book,"MK, DN",
129,지옥문을 여는 방법 : 2013 올해의 추리소설,"권경희,김경수,김범석,김재성,김주동,성성명,양수련,이상우,한수경,홍성호,최종철,조동신 ;엮은이: 한국추리작가협회",청어람,2013,,Anthology,"MK, DN",
130,탐정의 길 : 운명의 시작,이창헌,퍼플,2013,,Book,"MK, DN",
131,트위터 탐정 설록수,윤해환,씨엘북스,2013,,Book,"MK, DN",
132,피아노 살인 : 김성종 장편추리소설,김성종,남도출판사,2013,,Book,"MK, DN",
133,학교에 흑장미가 피다,난아,퍼플,2013,,Book,"MK, DN",
134,B파일 : 최혁곤 장편소설,최혁곤,황금가지,2013,,Book,"MK, DN",
135,(초판본) 마인 : 큰글씨책,김내성,지식을만드는지식,2014,,Book,"MK, DN",
136,나에게 잡히지 말아라 : 완전범죄 추리소설,이승욱,BG북갤러리,2014,,Book,"MK, DN",
137,내시귀,조동신,황금책방,2014,,Book,"MK, DN",
138,몽유도원도 : 미스터리 역사소설,이영호,밥북,2014,,Book,"MK, MN",
139,불타는 여인 : 김성종장편추리소설. 1-2,김성종,남도출판사,2014,,Book,"MK, DN",
140,비취록 : 조선 최고의 예언서를 둘러싼 미스터리 : 조완선 장편소설,조완선,북폴리오,2014,,Book,"MK, MN",
141,"섬, 짓하다 : 김재희 장편소설",김재희,시공사,2014,,Book,"MK, DN",
142,세계 제일의 안티 미스터리,모베,영상출판미디어(영상노트),2014,,Book,"MK, MN",
143,세종 인육 비사 : 肝膽[간담] : 조동인 미스터리 역사 장편소설,조동인,미래지향,2014,,Book,"MK, MN",
144,유다의 별 : 도진기 장편소설,도진기,황금가지,2014,,Book,"MK, DN",
145,잃어버린 밤 : 2014년 한국추리작가협회 13인의 공포 이야기,"김범석,김재성,김재희,김주동,반대인,성성명,양수련,이상우,이수광,장량,조나단,조동신 ;엮은이: 한국추리작가협회",청어람,2014,,Anthology,"MK, DN",
146,저승에서 온 미녀,김범영,북랩,2014,,Book,"MK, DN",
147,헨리 : 탐정소설,윤혜연,부크크,2014,,Book,"MK, DN",
148,"1973년 여름, 베를린의 안개","김범석,공민철,곽재동,김성종,반대인,양수련,이상우,이승영,이윤돌,장우석,조동신,최종철,황미영 ;엮은이: 한국추리작가협회",청어람,2015,,Anthology,"MK, DN",
149,경성 좀비 탐정록 : 김재성 장편소설,김재성,홈즈,2015,,Book,"MK, DN",
150,금화도감 : 조선119 : 조동신 장편소설,조동신,황금책방,2015,,Book,"MK, DN",
151,눈사자와 여름 : 하지은 장편소설,하지은,파란미디어,2015,,Book,"MK, DN",
152,목격자들 : 조운선 침몰 사건. 1-2,김탁환,민음사,2015,,Book,"MK, DN",
153,백안소녀(白顔少女) 살인사건 : 조선탐정 박명준 : 허수정 장편소설,허수정,신아출판사,2015,,Book,"MK, DN",
154,부랑의 강 : 김성종 장편추리소설,김성종,남도출판사,2015,,Book,"MK, DN",
155,뼈,정미진,앳눈북스,2015,,Book,"MK, DN",
156,싸이코 : 장편 추리소설,김현수,지식과감성#,2015,,Book,"MK, DN",
157,아린의 시선 : 서미애 장편소설,서미애,한스미디어,2015,,Book,"MK, DN",
158,"적, 너는 나의 용기 : 우태현 장편소설",우태현,새움,2015,,Book,"MK, DN",
159,"총군 : 왕, 총을 쏘다 : 제성욱 역사추리소설",제성욱,고즈넉이엔티,2015,,Book,"MK, DN",
160,최후의 증인 : 김성종 추리소설,김성종,새움,2015,,Book,"MK, DN",
161,칼에 베인 龍 : 정도전 암살 미스터리 : 이재운 장편소설,이재운,책이있는마을,2015,,Book,"MK, MN",
162,탐정이 아닌 두 남자의 밤,최혁곤,시공사,2015,,Book,"MK, DN",
163,토정 이지함과 비사문천 살인사건 : 허수정 장편소설,허수정,신아출판사,2015,,Book,"MK, DN",
164,퍼즐 : 장편 추리소설,박순옥,향지,2015,,Book,"MK, DN",
165,핑크 스카프 : 최종철 에로틱 미스테리 작품집,최종철,가나북스,2015,,Book,"MK, DN",
166,한국 추리 스릴러 단편선. 5,"도진기,이경민,송시우,정해연,전건우,신원섭,박하익,김주동,조동신,장유남",황금가지,2015,,Anthology,"MK, DN",
167,"해운대, 그 태양과 모래 : 김성종 연작소설",김성종,새움,2015,,Book,"MK, DN",
168,(경성 탐정) 이상. 2-5,김재희,시공사,2016,2020,Book,"MK, DN",
169,31월 12일 미스터리 : 마룬K 역사판타지 장편소설,마룬K,어울림,2016,2017,Book,"MK, MN",
170,검은 바다의 소용돌이 : 조정래 장편소설,조정래,청암,2016,,Book,"MK, DN",
171,김정일은 너무 한다 : 유서의 비밀 : 분석추리소설,고요경,부크크,2016,,Book,"MK, DN",
172,마릴린 먼로의 입술 : 2016 올해의 추리소설,"김경수,김범석,김재희,김주동,문정순,양수련,윤자영,이상우,장우석,정가일,조동신,최종철 ;엮은이: 한국추리작가협회",황금펜클럽,2016,,Anthology,"MK, DN",
173,물이 바다를 덮음같이,이종화,홍성사,2016,,Book,"MK, DN",
174,"미스터리는 풀렸다! : 기막힌 반전에서 절묘한 트릭까지, 깨알같고 비밀스런 추리소설 산책",박광규,눌민,2016,,Book,"MK, DN, MN",동일
175,붉은 집 살인사건 : 도진기 장편소설,도진기,황금가지,2016,,Book,"MK, DN",
176,살의 : 윤호 장편추리소설,윤호,다토북스,2016,,Book,"MK, DN",
177,셜록 홈즈의 증명,"김재희,박현주,손선영,윤해환,홍성호",한스미디어,2016,,Anthology,"MK, DN",
178,시스터 : 이두온 미스터리 스릴러,이두온,고즈넉이엔티,2016,,Book,"MK, MN",
179,악마는 법정에 서지 않는다 : 도진기 장편소설,도진기,황금가지,2016,,Book,"MK, DN",
180,요시와라 유녀와 비밀의 히데요시 : 조선탐정 박명준 : 허수정 장편소설,허수정,신아출판사,2016,,Book,"MK, DN",
181,운종가의 색목인들,"표창원,손선영",엔트리,2016,,Book,"MK, DN",
182,치정 : 현은미 미스터리 스릴러,현은미,고즈넉이엔티,2016,,Book,"MK, MN",
183,침묵의 그림자 : 이승욱 추리소설,이승욱,BG북갤러리,2016,,Book,"MK, DN",
184,D클럽과 여왕의 여름 : 박에스더 미스터리 스릴러,박에스더,고즈넉이엔티,2016,,Book,"MK, MN",
185,그림자의 울타리 : 미스터리 단편 소설집,심여진,부크크,2017,,Book,"MK, MN",
186,나의 오컬트한 일상 : 박현주 연작 미스터리. 가을/겨울 편,박현주,엘릭시르,2017,,Book,"MK, DN, MN",동일
187,나의 오컬트한 일상 : 박현주 연작 미스터리. 봄/여름 편,박현주,엘릭시르,2017,,Book,"MK, DN, MN",동일
188,낙원남녀,나혁진,황금가지,2017,,Book,"MK, DN",
189,라 트라 비아타의 초상 : 도진기 장편소설,도진기,황금가지,2017,,Book,"MK, DN",
190,리벤지 바이 블러드,"오현리,박상민,홍성호,김재성,조동신,장우석,반대인,김주동,공민철,김재희,양수현,윤자영",황금펜클럽,2017,,Anthology,"MK, DN",
191,부유하는 혼 : 황희 장편소설,황희,해냄출판사,2017,,Book,"MK, DN",
192,비사문천 살인사건 : 토정 이지함 : 허수정 장편소설,허수정,신아출판사,2017,,Book,"MK, MN",
193,소실점 : 김희재 장편소설,김희재,CABINET(캐비넷),2017,,Book,"MK, DN",
