No.,Title,Author,Publication,Start_Year,End_Year,Publication_Type,Source,비고
376,천국에서 온 탐정 : 이동원 장편소설,이동원,스윙테일,2022,,Book,"MK, DN",
377,탐정 홍련 : 철산 사건 일지 : 장화홍련전의 숨겨진 이야기 : 이수아 장편소설,이수아,책과나무,2022,,Book,"MK, DN",
378,탐정도 보험이 되나요? : 탐정 전일도의 두 번째 사건집,한켠,황금가지,2022,,Book,"MK, DN",
379,팬데믹 바이러스의 유통과정 : 팬데믹과 수혜자들,이주영,부크크,2022,,Book,"MK, DN",
380,"학교가 끝나면, 미스터리 사건부",윤자영,블랙홀,2022,,Book,"MK, MN",
381,할마시 탐정 트리오,김재희,책과나무,2022,,Book,"MK, DN",
382,호러 미스터리 컬렉션 : 큰글자책 : 홍정기 소설,홍정기,북오션,2022,,Book,"MK, DN, MN",동일
383,호러 미스터리 컬렉션 : 홍정기 소설,홍정기,북오션,2022,,Book,"MK, DN, MN",동일
384,환 : 김시안 미스터리 스릴러,김시안,고즈넉이엔티,2022,,Book,"MK, DN, MN",동일
385,황금열광 : 1938 경성 미스터리 추리극 : 하은경 장편소설,하은경,비룡소,2022,,Book,"MK, MN",
386,(한국추리문학상) 황금펜상 수상작품집 : 2022·제16회 : 큰글자책,"김세화,한새마,박상민,김유철,홍정기,정혁용,박소해",나비클럽,2023,,Anthology,"MK, DN",
387,(한국추리문학상) 황금펜상 수상작품집 : 2023·제17회,"박소해,서미애,김영민,여실지,홍선주,홍정기,송시우",나비클럽,2023,,Anthology,"MK, DN",
388,감귤마켓 셜록 : 큰글자책 : 박희종 장편소설,박희종,메이드인,2023,,Book,"MK, DN",
389,감찰무녀전 : 김이삭 장편소설,김이삭,고즈넉이엔티,2023,,Book,"MK, DN",
390,곧 죽어도 힙합 : 정재환 단편 소설집,정재환,고즈넉이엔티,2023,,Book,"MK, DN",
391,곶자왈에서 : 크라임 단편 앤솔러지,"김태민,박한선,유아인,이나경,조나단,한소은,현이랑",황금가지,2023,,Anthology,"MK, DN",
392,"괴이, 학원 : 경쟁이라는 이름의 마성","배명은,김선민,은상,정명섭,김하늬",빚은책들,2023,,Anthology,"MK, DN",
393,괴현상처리반 : 猫項懸鈴 : 1부,수박칼,부크크,2023,,Book,"MK, DN",
394,교도소 괴담 : 비밀스러운 교도소의 미스터리 괴담 : 큰글자책,박해로,북오션,2023,,Book,"MK, MN",
395,규슈의 실종자들 : 편지로부터 시작된 실종사건,한고운,모모북스,2023,,Book,"MK, DN",
396,그들은 후회하지 않는다,김대현,모모북스,2023,,Book,"MK, DN",
397,그리고 아무도 없었다 : 황정은 추리 소설집,황정은,책과나무,2023,,Book,"MK, DN",
398,기다리는 로켓 : 천년야화,라스트 로보,하움출판사,2023,,Book,"MK, DN",
399,기묘한 단편소설집,허세진,북팟,2023,,Book,"MK, DN",
400,길 떠나는 하얀 겨울 나비,박순옥,진포,2023,,Book,"MK, DN",
401,나만이 기억하는 : 한 사람이 겪는 미스터리 이야기,채지현,부크크,2023,,Book,"MK, DN, MN",동일
402,"너를 보았지 : 25년 만의 진실, 30년 만의 atonement : 임지원 장편소설",임지원,북랩,2023,,Book,"MK, DN",
403,너와 나의 미스터리 : Jake's mystery theatre : 큰글자책 : 이재익 소설집. vol.1,이재익,가쎄,2023,,Book,"MK, MN",
404,노비스 탐정 길은목 : 김아직 장편소설,김아직,몽실북스,2023,,Book,"MK, DN",
405,노스텔지어,이지원,부크크,2023,,Book,"MK, DN",
406,눈사자와 여름 : 하지은 장편소설,하지은,황금가지,2023,,Book,"MK, DN",
407,다다상조 회사 : 청년 탐정들의 장례지도사 생활 속으로,김재희,책과나무,2023,,Book,"MK, DN",
408,다마논드호 : 정지혜 장편소설,정지혜,몽실북스,2023,,Book,"MK, DN",
409,당신도 아는 이야기 : 김강물 소설,김강물,안전가옥,2023,,Book,"MK, DN",
410,대리운전 : 이나래 소설,이나래,안전가옥,2023,,Book,"MK, DN",
411,대리인 : 제인도 장편소설,제인도,팩토리나인,2023,,Book,"MK, DN",
412,더 미스터리,철멍뭉,부커,2023,,Book,"MK, MN",
413,도쿄 한복판의 유력 용의자 : 고호 장편소설,고호,델피노,2023,,Book,"MK, DN",
414,드라이버에 40번 찔린 시체에 관하여 : 한국추리작가협회 창립 40주년 기념 앤솔러지,"황세연,김영민,한새마,김범석,여실지,유재이,조동신",네오픽션,2023,,Anthology,"MK, DN",
415,라스트 스탑 : 류명환 소설,류명환,안전가옥,2023,,Book,"MK, DN",
416,르네 마그리트의 '연인' : 유지나 장편소설,유지나,팩토리나인,2023,,Book,"MK, DN",
417,마지막 사도 : 장용민 장편소설. 1-2,장용민,재담미디어,2023,,Book,"MK, DN",
418,매구를 죽이려고 : 조선희 장편소설,조선희,네오픽션,2023,,Book,"MK, DN",
419,못 먹는 남자 : 정해연 장편소설,정해연,엘릭시르,2023,,Book,"MK, DN",
420,몽상가의 침묵 : 메디컬 미스터리 단편소설집,손영모,페스트북,2023,,Book,"MK, MN",
421,몽키스 구단 미해결 사건집,"최혁곤,이용균",황금가지,2023,,Book,"MK, DN",
422,"묵찌빠 : 바이러스 웨이브, 팬데믹을 불러온 거대한 욕망의 서막! : 김세화 장편소설",김세화,책과나무,2023,,Book,"MK, DN",
423,배니시드 : 김도윤 장편소설,김도윤,팩토리나인,2023,,Book,"MK, DN",
424,뱀파이어 셜록 : 정명섭 소설,정명섭,돌베개,2023,,Book,"MK, DN",
425,부서진 게으름 : 장편 추리 소설. 1권,강다희,퍼플,2023,,Book,"MK, DN",
426,불귀도 살인사건 : 전건우 장편소설,전건우,북다,2023,,Book,"MK, DN",
427,불특정 다수 : 염유창 장편소설,염유창,해피북스투유,2023,,Book,"MK, DN",
428,붉은 커튼 : 김주동 장편 소설,김주동,책과나무,2023,,Book,"MK, DN",
429,비로소 내가 되었다,백결,부크크,2023,,Book,"MK, DN",
430,사설탐정사의 밤 : 곽재식 추리 연작소설집,곽재식,문학과지성사,2023,,Book,"MK, DN",
431,살의의 형태,홍정기,서랍의날씨,2023,,Book,"MK, DN",
432,살인자 없는 살인,채고온,부크크,2023,,Book,"MK, DN",
433,살인자의 쇼핑몰 : 강지영 장편소설. 2-3,강지영,자음과모음,2023,2025,Book,"MK, DN",
434,새벽 2시의 코인 세탁소 : 박현주 연작 미스터리,박현주,엘릭시르,2023,,Book,"MK, MN",
435,"서울, 카타콤 : 이봄 장편소설",이봄,위즈덤하우스,2023,,Book,"MK, DN",
436,선녀를 위한 변론 : 송시우 소설집,송시우,래빗홀,2023,,Book,"MK, DN",
437,"설자은, 금성으로 돌아오다 : 정세랑 장편소설",정세랑,문학동네,2023,,Book,"MK, DN",
438,세노테 다이빙 : 노은지 장편소설,노은지,마시멜로,2023,,Book,"MK, DN",
439,습기 : 마태 장편소설,마태,해피북스투유,2023,,Book,"MK, DN",
440,시그널 : 프로이트 『꿈의 해석』이론을 바탕으로 한 심리 추리소설 : 조승훈 장편소설. 2. 무의식이 보내는 신호,조승훈,부크크,2023,,Book,"MK, DN",
441,시그니처 : 저주를 부르는 사인 : 큰글자책 : 정명섭 장편소설,정명섭,북오션,2023,,Book,"MK, DN",
442,심심포차 심심 사건 : 홍선주 장편소설,홍선주,네오픽션,2023,,Book,"MK, DN",
443,아주 사적인 기담 전람회 : 큰글자책 : 이현구 실화 소설,이현구,북오션,2023,,Book,"MK, DN",
444,여섯 번째 살인 : 한성규 장편 추리소설,한성규,맑은샘,2023,,Book,"MK, DN",
445,영생의 피 : 잠시도 긴장의 끈을 놓칠 수 없는 미스터리 스릴러,김교협,바른북스,2023,,Book,"MK, DN, MN",동일
446,영원히 사라지지 않을 공소시효,박순옥,진포,2023,,Book,"MK, DN",
447,영원히 알거나 무엇도 믿을 수 없게 된다 : 도시괴담 테마소설집,"강화길,김멜라,서장원,이원석,이현석,전예진,정지돈,조우리",은행나무,2023,,Anthology,"MK, DN",
448,옛날 철공소 : 황규섭 미스터리 소설,황규섭,서랍의날씨,2023,,Book,"MK, DN, MN",동일
449,"우리 집으로 와, 악마의 이론을 들려줄게... : 영상화 기획 중편 소설",최휘현,잇스토리,2023,,Book,"MK, DN",
450,우리가 다시 만날 수 있다면 : 큰글자책 : 김윤태 장편소설,김윤태,북오션,2023,,Book,"MK, DN",
451,원룸 : 스카이마린 장편소설,스카이마린,파란문어,2023,,Book,"MK, DN, MN",동일
452,잔혹범죄전담팀 라플레시아걸 : 한새마 장편소설,한새마,북오션,2023,,Book,"MK, DN",
453,죽은 남편이 돌아왔다 : 제인도 장편소설,제인도,팩토리나인,2023,,Book,"MK, DN",
454,체르니 킬러 : 큰글자책 : 야화 소설집,야화,가쎄,2023,,Book,"MK, MN",
455,초록 안의 세계 : 이서도 소설,이서도,안전가옥,2023,,Book,"MK, DN",
456,콩그래츄 그래듀에이션 : 정다이 소설,정다이,안전가옥,2023,,Book,"MK, DN",
457,크루즈피정 : 김루씨 장편 소설,김루씨,글마음,2023,,Book,"MK, DN",
458,테디베어는 죽지 않아 : 조예은 장편소설,조예은,안전가옥,2023,,Book,"MK, DN",
459,푸시아핑크 찾기 : 선주경 소설,선주경,문학공감,2023,,Book,"MK, DN",
460,프라다를 입는 변호사 : 큰글자책 : 야화 소설집,야화,가쎄,2023,,Book,"MK, DN, MN",동일
461,행복배틀 : 주영하 미스터리 스릴러,주영하,고즈넉이엔티,2023,,Book,"MK, DN, MN",동일
462,허실시 일상신비 사건집,"범유진,그린레보,김영민,박하루,정마리",들녘,2023,,Anthology,"MK, MN",
463,혐오스런 선데이 클럽 : 임성용 장편소설,엄성용,안전가옥,2023,,Book,"MK, DN",
464,Find me : 나를 잊지 말아요,박성용,좋은땅,2023,,Book,"MK, DN",
465,(한국추리문학상) 황금펜상 수상작품집 : 2023·제17회 : 큰글자책,"박소해,서미애,김영민,여실지,홍선주,홍정기,송시우",나비클럽,2024,,Anthology,"MK, DN",
466,(한국추리문학상) 황금펜상 수상작품집 : 2024·제18회,"무경,홍선주,장우석,박건우,정해연,김범석",나비클럽,2024,,Anthology,"MK, DN",
467,#기묘한살인사건,"엄성용,송한별,홍정기",다담북스,2024,,Anthology,"MK, DN",
468,"1026 : 한국 현대사의 가장 미스터리한 하루, 10월 26일 : 김진명 장편소설",김진명,새움,2024,,Book,"MK, MN",
469,6월의 폭풍 : 미스터리 한국전쟁 : 이용우 다큐멘터리 대하소설,이용우,지우출판,2024,,Book,"MK, MN",
470,7분 : 죽음의 시간 : 최들판 장편소설,최들판,엘릭시르,2024,,Book,"MK, DN",
471,교수대 위의 까마귀,"홍정기,김범석,김영민,조동신,한새마,박건우",서랍의 날씨,2024,,Anthology,"MK, DN, MN",동일
472,귀우 : 오컬트 미스터리 장편소설,이다모,아프로스미디어,2024,,Book,"MK, DN, MN",동일
473,그녀의 일기장 : 어느 여교수의 죽음 : 장편 추리 소설,박경희,퍼플,2024,,Book,"MK, DN",
474,그녀의 취미생활,서미애,엘릭시르,2024,,Book,"MK, DN",
475,금붕어 룰렛 : 오윤희 장편소설,오윤희,팩토리나인,2024,,Book,"MK, DN",
476,기생록 : 프리키 미스터리 스릴러 컬렉션,프리키,아프로스미디어,2024,,Book,"MK, DN, MN",동일
477,까마귀 장례식,서미애,엘릭시르,2024,,Book,"MK, DN",
478,나쁜 검사들 : 이중세 장편소설,이중세,마디북,2024,,Book,"MK, DN",
479,나쁜 검사들 : 큰글자도서 : 이중세 장편소설,이중세,마디북,2024,,Book,"MK, DN",
480,남편을 죽이는 서른 가지 방법,서미애,엘릭시르,2024,,Book,"MK, DN",
481,누굴 죽였을까 : 정해연 장편소설,정해연,북다,2024,,Book,"MK, DN",
482,다크 디텍티브 : 길무상 추리소설,길무상,북랩,2024,,Book,"MK, DN",
483,달콤한 살인 계획 : 김서진 장편소설,김서진,나무옆의자,2024,,Book,"MK, DN",
484,당신의 비밀 : 이종관 미스터리 스릴러,이종관,고즈넉이엔티,2024,,Book,"MK, MN",
485,"도망가자 밤으로, 밤으로","글: 라일라 & 마즈눈,임성용,이정임,채은",네시오십분,2024,,Anthology,"MK, DN",
486,돌림판 작가 허아른의 소설 분투기 : 주제는 랜덤 결과는 미스터리,허아른,고즈넉이엔티,2024,,Book,"MK, MN",
487,마피아 찾기 : 김하림 미스터리 스릴러,김하림,고즈넉이엔티,2024,,Book,"MK, DN",
488,마피아 찾기 : 김하림 미스터리 스릴러,김하림,고즈넉이엔티,2024,,Book,"MK, MN",
489,먼지가 되어 : 김아직 장편소설,김아직,사계절,2024,,Book,"MK, DN",
490,물속의 입 : 김인숙 미스터리·호러 단편선,김인숙,문학동네,2024,,Book,"MK, DN",
491,물속의 입 : 김인숙 미스터리·호러 단편선,김인숙,문학동네,2024,,Book,"MK, MN",
492,미러하우스 : 이성민 미스터리 스릴러,이성민,아프로스미디어,2024,,Book,"MK, DN, MN",동일
493,미친 X들,"서미애,송시우,정해연,홍선주,이은영,한새마",안전가옥,2024,,Anthology,"MK, DN",
494,민들레꽃,토란,부크크,2024,,Book,"MK, DN",
495,뱀파이어 탐정단,김재희,북오션,2024,,Book,"MK, DN",
496,부산 느와르 미스터리,박대겸,오러,2024,,Book,"MK, MN",
497,불의 고리 : 우리는 모두 불의 고리로 연결되어 있다 : 장편 추리 소설,박윤,부크크,2024,,Book,"MK, DN",
498,비앙또 단편선 : 박세정 장편추리소설,박세정,문학과평론사,2024,,Book,"MK, DN",
499,선희 : 황민구·이도연 장편소설,"황민구,이도연",부크럼,2024,,Book,"MK, DN",
500,십자가의 괴이,"조영주,박상민,전건우,주원규,김세화,차무진",비채,2024,,Anthology,"MK, MN",
501,"엄마, 시체를 부탁해",한새마,바른북스,2024,,Book,"MK, DN",
502,"연세중학교 소년 탐정단 : 청소년 성장소설 십대들의 힐링캠프, 논리",김미선,행복한나무,2024,,Book,"MK, DN",
503,영원의 1초는 얼마인가,김기석,부크크,2024,,Book,"MK, DN",
504,옐로우 레이디 : 이아람 장편소설,이아람,안전가옥,2024,,Book,"MK, DN",
505,완벽한 시간,권중영,행복에너지,2024,,Book,"MK, DN",
506,용서하지 않을 권리,김기석,부크크,2024,,Book,"MK, DN",
507,유미의 공부 : 사주四柱 추리소설,제임스 엄,창조와 지식,2024,,Book,"MK, DN",
508,이상한 나라의 정육점 : 스카이마린 장편소설,스카이마린,파란문어,2024,,Book,"MK, DN, MN",동일
509,이성과 본능 : 김기홍 장편소설,김기홍,북랩,2024,,Book,"MK, DN",
510,족쇄 : 두 남매 이야기 : 전혜진 장편소설,전혜진,고즈넉이엔티,2024,,Book,"MK, DN",
511,철과 흙 : 예옥 제7소설,이지명,예옥,2024,,Book,"MK, DN",
512,초소년 : 홍정기 소설,홍정기,빚은책들,2024,,Book,"MK, DN",
513,초원의 송골매 : 고을주 장편소설,고을주,북랩,2024,,Book,"MK, DN",
514,초자연현상처리반,창궁,부크크,2024,,Book,"MK, DN",
515,추리 첨가 미니 버거 : 추리가 첨가된 6가지 이야기! 숨겨진 추리의 맛은 과연? : 하모 소설집,하모,도서출판이곳,2024,,Book,"MK, DN",
516,침묵의 시간,권중영,행복에너지,2024,,Book,"MK, DN",
517,카스트라토 : 거세당한 자 : 표창원 장편소설,표창원,&(앤드),2024,,Book,"MK, DN",
518,타오 : 김세화 장편소설,김세화,나비클럽,2024,,Book,"MK, DN",
519,타인의 시간,권중영,행복에너지,2024,,Book,"MK, DN",
520,하이드의 귀환 : 지킬 박사와 하이드 영감을 얻다,조설은,부크크,2024,,Book,"MK, DN",
521,해피 벌쓰데이 : 양수련 장편소설,양수련,책과나무,2024,,Book,"MK, DN",
522,헤이그의 비밀 : 이준 열사 사망 미스터리,김철,열세번째방,2024,,Book,"MK, MN",
523,"형사刑事 이야기, 윤계식 : 장성우(살생금지) 장편 서스펜스 소설",장성우,부크크,2024,,Book,"MK, DN",
524,호랑이 : 백두대간의 울음 : 봉운 추리소설,봉운,바른북스,2024,,Book,"MK, DN",
525,화원 : 밀사화의 비밀 : 금사율 장편소설,금사율,좋은땅,2024,,Book,"MK, DN",
526,휴브리스 : 나를 찾아 주세요 : 미스테리 소설,박성용,좋은땅,2024,,Book,"MK, DN",
527,휴양림 49일 : 조정희 장편소설,조정희,BG북갤러리,2024,,Book,"MK, DN",
528,Milky way in the sky,Xhill,부크크,2024,,Book,"MK, MN",
529,Reaching for riches,왕재현,부크크,2024,,Book,"MK, DN",
530,(한국추리문학상) 황금펜상 수상작품집 : 2024·제18회 : 큰글자책,"무경,홍선주,장우석,박건우,정해연,김범석",나비클럽,2025,,Anthology,"MK, DN",
531,76층 탐정 : 정명섭 장편소설,정명섭,팩토리나인,2025,,Book,"MK, DN",
532,7인의 세계,이지민,자근,2025,,Book,"MK, DN",
533,거의 황홀한 순간 : 강지영 장편소설,강지영,나무옆의자,2025,,Book,"MK, DN",
534,고요한 물속 사라진 목소리,이보석,부크크,2025,,Book,"MK, DN",
535,곤지왕 : 고대사 최대의 미스터리,진현석,좋은땅,2025,,Book,"MK, MN",
536,기묘한 J : 정종균 미스터리 소설집,정종균,바른북스,2025,,Book,"MK, MN",
537,난기류 : 여실지 장편소설,여실지,텍스티,2025,,Book,"MK, DN",
538,닫히지 않는 문 : 엄성용 장편소설,엄성용,네오픽션,2025,,Book,"MK, DN",
539,달 없는 밤 : 미스터리 추리 장편소설,서예량,부크크,2025,,Book,"MK, DN, MN",동일
540,"두 개의 목, 샴 : 김경희 장편소설",김경희,파란문어,2025,,Book,"MK, DN, MN",동일
541,딥스테이트 : 트릴로지,최영환,부크크,2025,,Book,"MK, DN",
542,라스베이거스 살인사건,이장우,바른북스,2025,,Book,"MK, DN",
543,마티스 × 스릴러 : 앙리 마티스의 그림에서 발견한 가장 어둡고 강렬한 이야기,"박산호,박상민,정명섭,정해연,조영주",마티스블루,2025,,Anthology,"MK, DN",
544,"말레이 추적기 : 죄수였던 고발자, 법과 자본의 카르텔을 무너뜨리다. 1부",이오하,하움출판사,2025,,Book,"MK, DN",
545,매듭의 끝 : 정해연 장편소설,정해연,현대문학,2025,,Book,"MK, DN",
546,몬스터 킬러 : 윤자영 장편소설,윤자영,네오픽션,2025,,Book,"MK, DN",
547,무녀촌,고태라,책과나무,2025,,Book,"MK, DN",
548,미스터리 브이로그 : 이요마 장편소설,이요마,우리학교,2025,,Book,"MK, MN",
549,밸런스 게임 지옥 : 김종일 장편소설,김종일,황금가지,2025,,Book,"MK, DN",
550,법의 체면 : 도진기 단편소설집,도진기,황금가지,2025,,Book,"MK, DN",
551,복수는 이렇게 하는 거라고,박희종,메이드인,2025,,Book,"MK, DN",
552,복수는 이렇게 하는 거라고 : 큰글자책,박희종,메이드인,2025,,Book,"MK, DN",
553,비공개 송환,장우성,고즈넉이엔티,2025,,Book,"MK, DN",
554,살인 오마카세 : 무송빌딩을 둘러싼 갈등과 연쇄살인 : 황정은 장편추리소설,황정은,책과나무,2025,,Book,"MK, DN",
555,"설자은, 불꽃을 쫓다 : 정세랑 장편소설",정세랑,문학동네,2025,,Book,"MK, DN",
556,수상탑의 살인 : 김영민 장편소설,김영민,아프로스미디어,2025,,Book,"MK, DN",
557,순결한 탐정 김재건과 초능력자의 섬 : 박하루 탐정소설,박하루,엘릭시르,2025,,Book,"MK, DN",
558,실험체 8374,@렌,부크크,2025,,Book,"MK, DN",
559,아이돌 살인 : 이소민 장편소설,이소민,문학동네,2025,,Book,"MK, DN",
560,"어제에서 온 남자 : 스릴러 장인, 전건우의 본격 타임슬립 미스터리 소설",전건우,북오션,2025,,Book,"MK, MN",
561,"의궤, 붉은 비단 위의 그림자",서한기,부크크,2025,,Book,"MK, DN",
562,잿빛 커튼,서한기,부크크,2025,,Book,"MK, DN",
563,전 세계 사이코패스 살인마 : 친밀하고 친숙한 사이코패스 살인마,박성종,북오션,2025,,Book,"MK, DN",
564,조선 궁궐 일본 요괴 : 조영주 소설,조영주,KONG,2025,,Book,"MK, DN",
565,타오 : 큰글자책 : 김세화 장편소설,김세화,나비클럽,2025,,Book,"MK, DN",
566,템즈 강의 안개와 새벽,서한기,부크크,2025,,Book,"MK, DN",
567,투명 인간 살인 사건,노원,포문 출판,2025,,Book,"MK, DN",
568,튜링 디텍티브,페어웰,부크크,2025,,Book,"MK, DN",
569,하품은 맛있다 : 강지영 장편소설,강지영,네오픽션,2025,,Book,"MK, DN",
570,화성의 폐허 : SF 미스터리 엔솔로지,"정명섭,설재인,장아미,김이환",서랍의 날씨,2025,,Anthology,"MK, MN",